Reaction	In-Pathway	Names
RXN-14391	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
RUBREDOXIN--NAD+-REDUCTASE-RXN	P221-PWY	octane oxidation
R221-RXN	P221-PWY	octane oxidation
2.1.1.77-RXN		
RXN-10660	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
R344-RXN	PWY-7962 // RXN-19339	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
RXN0-6948		
F16ALDOLASE-RXN	GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
SUCCDIAMINOPIMDESUCC-RXN	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
GLYCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
DIHYDROPYRIMIDINASE-RXN	PWY-3982	uracil degradation I (reductive) // &beta;-alanine biosynthesis
2.3.1.180-RXN	PWY-4381	fatty acid biosynthesis initiation (type II) // de novo fatty acid biosynthesis, initial reactions // fatty acid biosynthesis initiation (bacteria and plants)
RXN-6383	PWY-8180	acrylate degradation II
RXN-9534	PWY-8279	palmitate biosynthesis III
RXN-11737	PWY-6638	sulfolactate degradation III
RXN-13248		
CHORISMATEMUT-RXN	PHESYN // TYRSYN	L-phenylalanine biosynthesis I // L-tyrosine biosynthesis I
HYPOXANPRIBOSYLTRAN-RXN	PWY-6609 // PWY-6610	adenine and adenosine salvage III // adenosine nucleotides salvage III // adenine salvage
INORGPYROPHOSPHAT-RXN	PWY-7807 // PWY-7805	glyphosate degradation III // glyphosate C-P lyase enzyme system // (aminomethyl)phosphonate degradation
RXN-15733		
RXN-20757	PWY-7892 // RXN0-2281	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-16627	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
3-DEHYDROQUINATE-SYNTHASE-RXN	PWY-6164	3-dehydroquinate biosynthesis I
RIBOFLAVINKIN-RXN	PWY-5523 // RIBOSYN2-PWY	5,6-dimethylbenzimidazole biosynthesis I (aerobic) // DMB biosynthesis I // flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
2-DEHYDROPANTOATE-REDUCT-RXN	PANTO-PWY	phosphopantothenate biosynthesis I // vitamin B<sub>5</sub> biosynthesis
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
RXN-22482	PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic) // lipid-A-precursor biosynthesis (generic)
RXN0-6479	PWY0-1479	tRNA processing
PROPIONYL-COA-CARBOXY-RXN	PROPIONMET-PWY	propanoyl CoA degradation I // propionyl CoA degradation I // methylmalonyl pathway
OHBUTYRYL-COA-EPIM-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
AMPSYN-RXN	PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
RXN-11578		
RXN-15122	PWY-5437 // ILEUSYN-PWY // THREDEHYD-RXN	L-threonine degradation I // L-isoleucine biosynthesis I (from threonine)
RXN-8752		
RXN-9523	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN0-947	PWY0-501	lipoate biosynthesis and incorporation I
RXN-14712		
PHENYLSERINE-ALDOLASE-RXN		
RXN-20756	PWY-7892 // RXN0-2281	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-19316	PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // adenosyl-factor A biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RXN-9789	PWY-6891 // PWY-6892	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis // thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
RXN-14390	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
ANTHRANSYN-RXN	TRPSYN-PWY	L-tryptophan biosynthesis
RXN0-4222	PWY0-1479	tRNA processing
METHYLASPARTATE-MUTASE-RXN	PWY-5087	L-glutamate degradation VI (to pyruvate) // L-glutamate fermentation // mesaconate pathway // methylaspartate pathway // L-glutamic acid degradation VI (to pyruvic acid )
ACETOLACTREDUCTOISOM-RXN	VALSYN-PWY	L-valine biosynthesis
RXN-17957	PWY-7807	glyphosate degradation III // glyphosate C-P lyase enzyme system
RXN-12583	RXN0-1134	
RXN-22485	PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic) // lipid-A-precursor biosynthesis (generic)
RXN-22246	PWYI-14 // PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>) // lipid-A-precursor biosynthesis // lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
RXN-20717		
RXN0-1133	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I // pyruvate dehydrogenase complex // acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex) // pyruvic acid decarboxylation to acetyl CoA // pyruvate dehydrogenase system
RXN-6261	PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
LIPIDADISACCHARIDESYNTH-RXN	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	ILEUSYN-PWY // PWY-5101	L-isoleucine biosynthesis I (from threonine) // L-isoleucine biosynthesis II
ASPAMINOTRANS-RXN	ASPARTATE-DEG1-PWY // ASPARTATESYN-PWY // GLUTDEG-PWY	L-aspartate degradation I // L-aspartate biosynthesis // L-aspartate biosynthesis and degradation // L-glutamate degradation II // L-glutamate - L-aspartate pathway // L-aspartate degradation
RXN-19338	PWY-7971 // BTUR2-RXN	adenosylcobinamide-GDP salvage from cobinamide I
RXN0-2382	TRPSYN-PWY // TRYPSYN-RXN	L-tryptophan biosynthesis
RXN-17887	PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation
CHOLINE-SULFATASE-RXN	P542-PWY	choline-<i>O</i>-sulfate degradation // choline sulfate degradation
ADDALT-RXN	PWY-7179	purine deoxyribonucleosides degradation I
RXN2B4Q-52		
RXN1G01-46		
GMP-SYN-NH3-RXN	GMP-SYN-GLUT-RXN	
2.3.1.157-RXN	UDPNAGSYN-PWY // PWY0-1261	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis // anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
1.3.1.54-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
RXN-17391		
RXN-19301		
RXN0-5065		
GLYRIBONUCSYN-RXN	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
RXN-22481	PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic) // lipid-A-precursor biosynthesis (generic)
ATPPHOSPHORIBOSYLTRANS-RXN	HISTSYN-PWY	L-histidine biosynthesis
ACETOACETATE--COA-LIGASE-RXN		
NICOTINATEPRIBOSYLTRANS-RXN	PWY3O-4107	NAD salvage pathway V (PNC V cycle) // Preiss-Handler pathway
RXN-9516	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-15512	RXN-15513	
AICARTRANSFORM-RXN	PWY-6123	inosine-5'-phosphate biosynthesis I // IMP biosynthesis I
PPPGPPHYDRO-RXN	PPGPPMET-PWY	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis
NACGLCTRANS-RXN	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PROPKIN-RXN	PWY-5437	L-threonine degradation I
RXN-16625	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
RXN-11728	PWY-6634	3-sulfopropanediol degradation I // DHPS degradation // 2,3-dihydroxypropane-1-sulfonate degradation
2.1.1.130-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
RXN1G-4355		
RXN-10851		
RXN-9527	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN0-884	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
4.3.1.17-RXN		
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
CERAMIDASE-YEAST-RXN		
KYNURENINASE-RXN		
4.1.1.81-RXN		
4.99.1.3-RXN	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN-9537	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
RXN0-5393	PWY0-1337	oleate &beta;-oxidation
RXN-15129	LCYSDEG-PWY // LCYSDESULF-RXN	L-cysteine degradation II // L-cysteine catabolism // L-cysteine degradation
PSERPHOSPHA-RXN		
RXN-11637		
H2PTERIDINEPYROPHOSPHOKIN-RXN	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
RXN2DNV-3	PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>) // lipid-A-precursor biosynthesis
HISTCYCLOHYD-RXN	HISTSYN-PWY	L-histidine biosynthesis
SERINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
GLUTATHIONE-SYN-RXN	GLUTATHIONESYN-PWY	glutathione biosynthesis
GALACTOKIN-RXN	PWY-6317	D-galactose degradation I (Leloir pathway) // Leloir pathway
RXN-9539	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
PDXJ-RXN	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
PTAALT-RXN	PWY-5437	L-threonine degradation I
PHOSMANMUT-RXN		
4.3.1.15-RXN		
GLUCONATE-5-DEHYDROGENASE-RXN	IDNCAT-PWY	L-idonate degradation // L-idonic acid catabolism // L-idonate catabolism
MALEYLACETATE-REDUCTASE-RXN	PWY-6041	4-sulfocatechol degradation
RXN-9732	PWY-6041	4-sulfocatechol degradation
CDPKIN-RXN	PWY-7205	CMP phosphorylation
RXN-17883		
RXN-21525	PWY-8159 // OHMETHYLBILANESYN-RXN	dipyrromethane cofactor biosynthesis
RXN-11727	PWY-6634	3-sulfopropanediol degradation I // DHPS degradation // 2,3-dihydroxypropane-1-sulfonate degradation
MALSYN-RXN	GLYOXDEG-PWY	glycolate and glyoxylate degradation II // glyoxylate degradation
RXN-9191	PWY-5839	menaquinol-7 biosynthesis // vitamin K<sub>2</sub> biosynthesis // menaquinone-7 biosynthesis
4.2.1.59-RXN	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
DEPHOSPHOCOAKIN-RXN	COA-PWY	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
RXN-20675	PWY0-1337	oleate &beta;-oxidation
RXN-15125	SERDEG-PWY // PWY-3661 // 4.3.1.17-RXN	L-serine degradation // glycine betaine degradation I
RXN-18209	RXNQT-4165	
RXN0-5390	PWY0-1337	oleate &beta;-oxidation
RXN-16620	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
RXN-15025	PWY3O-4107	NAD salvage pathway V (PNC V cycle) // Preiss-Handler pathway
RXN-11053	PWY-1361	benzoyl-CoA degradation I (aerobic)
IGPSYN-RXN	TRPSYN-PWY	L-tryptophan biosynthesis
RXN-9740	PWY-6047	dimethyl sulfide degradation I // DMS degradation // dimethylsulfide degradation I
ARGDECARBOX-RXN	PWY0-823 // PWY0-1299 // PWY-40	L-arginine degradation III (arginine decarboxylase/agmatinase pathway) // arginine dependent acid resistance // putrescine biosynthesis I
RXN-10642		
RXN-11028		
CDPDIGLYSYN-RXN	PWY-5667 // PWY0-1319	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis // CDP-diacylglycerol biosynthesis II
PHOSPHOGLUCMUT-RXN	PWY-6317	D-galactose degradation I (Leloir pathway) // Leloir pathway
RXN-18210	RXN-14986	
CITRAMALATE-LYASE-RXN	PWY-5087	L-glutamate degradation VI (to pyruvate) // L-glutamate fermentation // mesaconate pathway // methylaspartate pathway // L-glutamic acid degradation VI (to pyruvic acid )
THIAZOLSYN2-RXN	PWY-6891 // PWY-6892	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis // thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
DEOXYGUANPHOSPHOR-RXN	PWY-7179	purine deoxyribonucleosides degradation I
RXN0-882	PWY-7560	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway
RXN-14388	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
MALEYLACETOACETATE-ISOMERASE-RXN	TYRFUMCAT-PWY	L-tyrosine degradation I // tyrosine fumarate catabolism
RXN-19307	PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RIBULP3EPIM-RXN		
RXN-10657	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
RXN-13615	PWY0-1337	oleate &beta;-oxidation
RXN0-20	PWY-7884	lipoprotein posttranslational modification // lipoprotein lipoylation // Lol pathway
IPPISOM-RXN	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
1.2.1.2-RXN	PWY-1881	formate oxidation to CO<sub>2</sub>
DXS-RXN	PWY-7560 // NONMEVIPP-PWY // PYRIDOXSYN-PWY // PWY-6891 // PWY-6892	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I // pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis // thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis // thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
GLUTKIN-RXN	PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)
ADENINE-DEAMINASE-RXN	PWY-6610	adenine salvage
2.7.3.9-RXN		
RXN-14726		
RXN0-6563		
PRPPAMIDOTRANS-RXN	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
RXN-16659	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN0-6274		
RXN-22643		
RXN-16457	PWY-7639 // RXN-21601	bis(guanylyl molybdenum cofactor) biosynthesis // bisMGD biosynthesis // bis-MPT guanine dinucleotide cofactor biosynthesis
RXN-20083	PWY-5921 // 6.3.5.7-RXN	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
CERAMIDASE-RXN		
2.7.7.60-RXN	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
RXN-14229	PWY0-1337	oleate &beta;-oxidation
AMINO-ACID-RACEMASE-RXN		
RXN0-2281		
RXN0-5144	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-9526	PWY-8279 // PWY-7388	palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-22739		
FORMIMINOGLUTAMATE-DEIMINASE-RXN	PWY-5028	L-histidine degradation II
RXN-20080	PWY490-4 // 6.3.5.6-RXN	L-asparagine biosynthesis III (tRNA-dependent) // L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
DEOXYGLUCONOKIN-RXN	PWY-7242	D-fructuronate degradation
RXN-16630	PWY-7663	gondoate biosynthesis (anaerobic) // <i>cis</i>-11-icosenoate biosynthesis // (11<i>Z</i>)-icos-11-enoate biosynthesis // (11<i>Z</i>)-icosenoate biosynthesis // gondoic acid biosynthesis // 11-eicosenoic acid biosynthesis
RXN-14188	PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
RXN-20153		
RXN0-1401	PWY-7807 // PWY-7805	glyphosate degradation III // glyphosate C-P lyase enzyme system // (aminomethyl)phosphonate degradation
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN		
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN		
RXN-16909	RXN-13202 // RXN-22735	
RXN-10083		
RXN-12540	DETOX1-PWY-1	reactive oxygen species degradation // removal of superoxide radicals
RXN-10811		
RXN-14073		
PYRUVFORMLY-RXN	PWY-5485	pyruvate fermentation to acetate IV // pyruvic acid fermentation to acetic acid IV
RXN-9623	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
RXN-14206		
GLURS-RXN	PWY-5188 // TRNA-CHARGING-PWY	tetrapyrrole biosynthesis I (from glutamate) // tRNA charging
RXN-11564		
RXN-12490	PWY0-1337	oleate &beta;-oxidation
CARNITINE-3-DEHYDROGENASE-RXN	PWY-3602	L-carnitine degradation III
RXN-6002		
PYRIMSYN3-RXN	PWY-6910 // PWY-7356	hydroxymethylpyrimidine salvage // HMP salvage // thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
RXN-8976		
RXN-19334	PWY-6268 // RXN-19368 // RXN-19335 // RXN-19369	adenosylcobalamin salvage from cobalamin // vitamin B<sub>12</sub> biosynthesis
RXN-12093	PWY-6703	preQ<sub>0</sub> biosynthesis // deazapurine biosynthesis // 7-cyano-7-deazaguanine biosynthesis // 7-cyano-7-carbaguanine biosynthesis
RXN0-4401		
RXN-19324	PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
ADCLY-RXN	PWY-6543	4-aminobenzoate biosynthesis I // pABA biosynthesis I // plastidial PABA biosynthesis // PABA biosynthesis in plastids // <i>p</i>-aminobenzoate biosynthesis I
RXN-8631		
URA-PHOSPH-RXN	PWY-7181	pyrimidine deoxyribonucleosides degradation
RXN-14481	RXN0-5063	
RXN-9524	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-15745	PWY-4261 // PWY-6952	glycerol degradation I // glycerophosphodiester degradation
ISOLEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
3-OXOADIPATE-COA-TRANSFERASE-RXN	PWY-2361	3-oxoadipate degradation // &beta;-ketoadipate degradation
RXN-22027	PWY-8203	8-amino-7-oxononanoate biosynthesis IV // 7-keto-8-aminopelargonate biosynthesis IV
RXN-8899		
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway) // L-arginase degradative pathway // L-glutamate biosynthesis
RXN-11291		
RXN-14517		
2.3.1.184-RXN	PWY-6157	autoinducer AI-1 biosynthesis
GLUCONOKIN-RXN	IDNCAT-PWY	L-idonate degradation // L-idonic acid catabolism // L-idonate catabolism
LTAA-RXN		
ADENOSYLHOMOCYSTEINASE-RXN	METHIONINE-DEG1-PWY // PWY-5041	L-methionine degradation I (to L-homocysteine) // <i>S</i>-adenosyl-L-methionine salvage II // activated methyl cycle // SAM cycle // <i>S</i>-adenosyl-L-methionine cycle II
PEPDEPHOS-RXN	PWY-8004 // ANAGLYCOLYSIS-PWY	Entner-Doudoroff pathway I // ED pathway I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
RXN-22736	RXN-22735	
UDP-NACMURALGLDAPLIG-RXN	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
RXN-7101	PWY0-1264	biotin-carboxyl carrier protein assembly // BCCP assembly
RXN-19916		
RXN0-5359		
RXN-15521		
RXN-22699	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN0-4621	PWY0-1261	anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
XANPRIBOSYLTRAN-RXN	SALVPURINE2-PWY	xanthine and xanthosine salvage
RXN-19306	PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
GLUTRNAREDUCT-RXN	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
RXN-22623		
H2NEOPTERINALDOL-RXN	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
RXN-20065	ALLOPHANATE-HYDROLASE-RXN	
RXN0-2301	LEU-DEG2-PWY	L-leucine degradation I
RXN-22316		
PHOSACETYLTRANS-RXN	PWY-5485 // PWY-1281 // PWY0-1477 // PWY0-1312	pyruvate fermentation to acetate IV // pyruvic acid fermentation to acetic acid IV // sulfoacetaldehyde degradation I // ethanolamine utilization // acetate and ATP formation from acetyl-CoA I // acetic acid formation from acetyl-CoA I
RXN-19298	PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RXN-11832	PWY-7205	CMP phosphorylation
5.3.3.10-RXN		
2.3.1.168-RXN	PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA // branched-chain &alpha;-keto acid dehydrogenase system // branched-chain &alpha;-keto acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase system
GART-RXN	PWY-6613 // PWY-6121	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // folic acid salvage // folate salvage // THF salvage // 5-aminoimidazole ribonucleotide biosynthesis I
RXN-18082		
RXN-15715		
RXN-9657	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-17882		
R223-RXN	P221-PWY	octane oxidation
UROCANATE-HYDRATASE-RXN	PWY-5028	L-histidine degradation II
RXN-12588	PWY0-1021	L-alanine biosynthesis III
3.1.3.16-RXN		
RXN-8751		
RXN-19366	PWY-6268 // RXN-19335	adenosylcobalamin salvage from cobalamin // vitamin B<sub>12</sub> biosynthesis
CARNDETRU-RXN		
RXN-22245	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
FADSYN-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
GSADENYLATION-RXN		
RXN-20670		
